"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"blk_cgroup_congested","0.00301339","1","0","1846952","9234760","0","5","vmlinux","blk_cgroup_congested","[Unknown]","0xffffffff9c048e20"
"_mm256_load_si256","0.00301339","0","0","83112840","0","0","5","prime_implicants","_mm256_load_si256","avxintrin.h","0x3498"
"asm_exc_page_fault","0.00301339","0","0","0","923476","0","0","vmlinux","asm_exc_page_fault","[Unknown]","0xffffffff9c801280"
"isolate_folios","0.00301339","0","0","2217123","4617380","0","0","vmlinux","isolate_folios","[Unknown]","0xffffffff9bd35fe0"
"exc_page_fault","0.00301339","0","","1846952","3693904","0","5","vmlinux","exc_page_fault","[Unknown]","0xffffffff9c6e9450"
"_find_first_bit","0.00301339","0","0","370171","0","0","0","vmlinux","_find_first_bit","[Unknown]","0xffffffff9c08ef90"
"zone_reclaimable_pages","0.00301339","0","","923476","0","0","75","vmlinux","zone_reclaimable_pages","[Unknown]","0xffffffff9bd3b3c0"
"kthread_blkcg","0.00301339","0","0","2770428","0","0","0","vmlinux","kthread_blkcg","[Unknown]","0xffffffff9baf4760"
"__folio_mod_stat","0.00301339","0","0","2770428","1846952","0","0","vmlinux","__folio_mod_stat","[Unknown]","0xffffffff9bd8d0d0"
"__vmf_anon_prepare","0.00301339","0","","5540856","2770428","0","5","vmlinux","__vmf_anon_prepare","[Unknown]","0xffffffff9bd71d20"
"page_counter_try_charge","0.00301339","1","","370171","0","0","0","vmlinux","page_counter_try_charge","[Unknown]","0xffffffff9be08ee0"
"free_pcppages_bulk","0.00200893","0","0","10528407","12928664","0","5","vmlinux","free_pcppages_bulk","[Unknown]","0xffffffff9bda1fe0"
"pageout","0.00200893","0","0","0","923476","0","0","vmlinux","pageout","[Unknown]","0xffffffff9bd34120"
"irqentry_enter","0.00200893","0","0","923476","0","0","0","vmlinux","irqentry_enter","[Unknown]","0xffffffff9c6e9a80"
"pud_val","0.00200893","0","0","8311284","0","0","5","vmlinux","pud_val","[Unknown]","0xffffffff9bd6c7f0"
"free_unref_page_commit","0.00200893","0","0","1846952","3693904","0","1","vmlinux","free_unref_page_commit","[Unknown]","0xffffffff9bda2540"
"down_read_trylock","0.00200893","0","0","3693904","9051626","0","5","vmlinux","down_read_trylock","[Unknown]","0xffffffff9bb46740"
"native_read_msr","0.00200893","0","0","0","0","0","0","vmlinux","native_read_msr","[Unknown]","0xffffffff9ba97050"
